Rank,Country/Region,Mathemethics_Scores
1,Singapore,575
2,Macao (China),552
3,Chinese Taipei,547
4,Hong Kong (China),540
5,Japan,536
6,Korea,527
7,Estonia,510
8,Switzerland,508
9,Poland,498
10,Canada,497
11,Netherlands,493
12,Ireland,492
13,Belgium,489
14,Denmark,489
15,United Kingdom,489
16,Australia,487
17,Austria,487
18,Czech Republic,487
19,Slovenia,485
20,Finland,484
21,Latvia,483
22,Sweden,482
23,New Zealand,479
24,Germany,475
25,Lithuania,475
26,France,474
27,Hungary,473
28,Spain,473
29,Portugal,472
30,Italy,471
31,Viet Nam,469
32,Norway,468
33,Malta,466
34,United States,465
35,Slovak Republic,464
36,Croatia,463
37,Iceland,459
38,Israel,458
39,Türkiye,453
40,Brunei Darussalam,442
41,Ukraine,441
42,Serbia,440
43,United Arab Emirates,431
44,Greece,430
45,Romania,428
46,Kazahstan,425
47,Mongolia,425
48,Cyprus,418
49,Bulgaria,417
50,Moldova,414
51,Qatar,414
52,Chile,412
53,Malaysia,409
54,Uruguay,409
55,Montenegro,406
56,Azerbaijan,397
57,Mexico,395
58,Thailand,394
59,Peru,391
60,Georgia,390
61,Saudi Arabia,389
62,North Macedonia,389
63,Costa Rica,385
64,Colombia,385
65,Brazil,379
66,Argentina,378
67,Jamaica,377
68,Albania,368
69,Indonesia,366
70,Palestinian Authority,366
71,Morocco,365
72,Uzbekistan,364
73,Jordan,361
74,Panama,357
75,Philippines,355
76,Kosovo,355
77,Guatemala,344
78,El Salvador,343
79,Dominican Republic,339
80,Paraguay,338
81,Cambodia,336
